"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"220583";"https://dadosabertos.camara.leg.br/api/v2/deputados/220583";"10000";"Deputado";"Delegado Fabio Costa";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"AL";"18";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"220619";"https://dadosabertos.camara.leg.br/api/v2/deputados/220619";"10000";"Deputado";"Delegado Ramagem";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"30";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"220655";"https://dadosabertos.camara.leg.br/api/v2/deputados/220655";"10000";"Deputado";"Mario Frias";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"59";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"220706";"https://dadosabertos.camara.leg.br/api/v2/deputados/220706";"10000";"Deputado";"Padovani";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"PR";"38";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"141555";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";"10000";"Deputado";"Vinicius Carvalho";"REPUBLIC";"";"SP";"70";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"160758";"https://dadosabertos.camara.leg.br/api/v2/deputados/160758";"10000";"Deputado";"Domingos Sávio";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MG";"47";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"160673";"https://dadosabertos.camara.leg.br/api/v2/deputados/160673";"10000";"Deputado";"Giovani Cherini";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"13";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"160601";"https://dadosabertos.camara.leg.br/api/v2/deputados/160601";"10000";"Deputado";"Pr. Marco Feliciano";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"45";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"92776";"https://dadosabertos.camara.leg.br/api/v2/deputados/92776";"10000";"Deputado";"Stefano Aguiar";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"MG";"19";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"166402";"https://dadosabertos.camara.leg.br/api/v2/deputados/166402";"10000";"Deputado";"Magda Mofatto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"GO";"56";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"178829";"https://dadosabertos.camara.leg.br/api/v2/deputados/178829";"10000";"Deputado";"Capitão Augusto";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"5";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"178871";"https://dadosabertos.camara.leg.br/api/v2/deputados/178871";"10000";"Deputado";"Evair Vieira de Melo";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"ES";"3";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"178908";"https://dadosabertos.camara.leg.br/api/v2/deputados/178908";"10000";"Deputado";"Delegado Éder Mauro";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PA";"39";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"178933";"https://dadosabertos.camara.leg.br/api/v2/deputados/178933";"10000";"Deputado";"Sergio Souza";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"PR";"22";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"178937";"https://dadosabertos.camara.leg.br/api/v2/deputados/178937";"10000";"Deputado";"Altineu Côrtes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"48";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"92346";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"10000";"Deputado";"Eduardo Bolsonaro";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"50";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204387";"https://dadosabertos.camara.leg.br/api/v2/deputados/204387";"10000";"Deputado";"Sargento Fahur";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"PR";"43";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"198197";"https://dadosabertos.camara.leg.br/api/v2/deputados/198197";"10000";"Deputado";"Greyce Elias";"AVANTE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"MG";"51";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204395";"https://dadosabertos.camara.leg.br/api/v2/deputados/204395";"10000";"Deputado";"Pedro Lupion";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PR";"68";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204398";"https://dadosabertos.camara.leg.br/api/v2/deputados/204398";"10000";"Deputado";"Felipe Francischini";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"PR";"15";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204444";"https://dadosabertos.camara.leg.br/api/v2/deputados/204444";"10000";"Deputado";"Helio Lopes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RJ";"54";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"133810";"https://dadosabertos.camara.leg.br/api/v2/deputados/133810";"10000";"Deputado";"Marcelo Moraes";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"RS";"11";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204404";"https://dadosabertos.camara.leg.br/api/v2/deputados/204404";"10000";"Deputado";"Lucas Redecker";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"RS";"67";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204406";"https://dadosabertos.camara.leg.br/api/v2/deputados/204406";"10000";"Deputado";"Pedro Westphalen";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"RS";"65";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"156190";"https://dadosabertos.camara.leg.br/api/v2/deputados/156190";"10000";"Deputado";"Marcel van Hattem";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"RS";"71";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204367";"https://dadosabertos.camara.leg.br/api/v2/deputados/204367";"10000";"Deputado";"Daniel Freitas";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SC";"31";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204427";"https://dadosabertos.camara.leg.br/api/v2/deputados/204427";"10000";"Deputado";"Fernando Rodolfo";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PE";"63";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204411";"https://dadosabertos.camara.leg.br/api/v2/deputados/204411";"10000";"Deputado";"Filipe Barros";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"PR";"60";"1"
"2347272";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2347272";"204517";"https://dadosabertos.camara.leg.br/api/v2/deputados/204517";"10000";"Deputado";"Zé Vitor";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MG";"29";"1"
